dataset,method,which,image,aupr_finetuned,fpr95_finetuned,aupr_cityscapes,fpr95_cityscapes,prec_at_k,z_gap,anomaly_frac_%,explanation,file
RoadAnomaly,MaxLogit,worst,39.jpg,0.62,99.81,0.61,97.54,0.0,-0.94,0.69,"AUPR=0.6 | FPR95=99.8 | localization P@|A|=0.00 | separation z=-0.9 | anomaly size=0.7% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_RoadAnomaly_maxlogit_worst.png
RoadAnomaly,Max Entropy,best,5.jpg,99.5,1.49,82.84,13.66,0.961,8.79,36.85,AUPR=99.5 | FPR95=1.5 | localization P@|A|=0.96 | separation z=8.8 | anomaly size=36.9% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_RoadAnomaly_entropy_best.png
RoadAnomaly,Max Entropy,worst,53.jpg,1.24,30.17,3.7,46.17,0.008,0.4,0.63,"AUPR=1.2 | FPR95=30.2 | localization P@|A|=0.01 | separation z=0.4 | anomaly size=0.6% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_RoadAnomaly_entropy_worst.png
RoadAnomaly,RbA,best,5.jpg,98.92,1.16,92.95,2.13,0.972,4.84,36.85,AUPR=98.9 | FPR95=1.2 | localization P@|A|=0.97 | separation z=4.8 | anomaly size=36.9% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_RoadAnomaly_rba_best.png
RoadAnomaly,RbA,worst,53.jpg,0.57,93.64,2.69,26.18,0.0,-0.23,0.63,"AUPR=0.6 | FPR95=93.6 | localization P@|A|=0.00 | separation z=-0.2 | anomaly size=0.6% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_RoadAnomaly_rba_worst.png
RoadAnomaly21,MSP,best,4.png,94.76,1.2,70.81,51.73,0.948,5.79,17.99,AUPR=94.8 | FPR95=1.2 | localization P@|A|=0.95 | separation z=5.8 | anomaly size=18.0% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_RoadAnomaly21_msp_best.png
RoadAnomaly21,MSP,worst,5.png,43.84,31.09,48.86,25.22,0.465,-0.11,36.77,"AUPR=43.8 | FPR95=31.1 | localization P@|A|=0.47 | separation z=-0.1 | anomaly size=36.8% -> the anomaly is scored almost like the surrounding known classes (confidently absorbed into a Cityscapes category), so the score margin is too small to rank it on top.",task8_qual_RoadAnomaly21_msp_worst.png
RoadAnomaly21,MaxLogit,best,1.png,97.27,0.45,85.2,1.21,0.95,3.76,8.32,AUPR=97.3 | FPR95=0.4 | localization P@|A|=0.95 | separation z=3.8 | anomaly size=8.3% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_RoadAnomaly21_maxlogit_best.png
RoadAnomaly21,MaxLogit,worst,5.png,24.66,91.6,46.15,30.83,0.073,-0.69,36.77,"AUPR=24.7 | FPR95=91.6 | localization P@|A|=0.07 | separation z=-0.7 | anomaly size=36.8% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected.",task8_qual_RoadAnomaly21_maxlogit_worst.png
RoadAnomaly21,Max Entropy,best,4.png,97.51,0.64,78.82,51.71,0.958,7.44,17.99,AUPR=97.5 | FPR95=0.6 | localization P@|A|=0.96 | separation z=7.4 | anomaly size=18.0% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_RoadAnomaly21_entropy_best.png
RoadAnomaly21,Max Entropy,worst,5.png,45.29,30.74,49.82,24.08,0.472,0.43,36.77,"AUPR=45.3 | FPR95=30.7 | localization P@|A|=0.47 | separation z=0.4 | anomaly size=36.8% -> the anomaly is scored almost like the surrounding known classes (confidently absorbed into a Cityscapes category), so the score margin is too small to rank it on top.",task8_qual_RoadAnomaly21_entropy_worst.png
RoadAnomaly21,RbA,best,1.png,96.96,0.34,85.15,1.21,0.954,3.01,8.32,AUPR=97.0 | FPR95=0.3 | localization P@|A|=0.95 | separation z=3.0 | anomaly size=8.3% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_RoadAnomaly21_rba_best.png
RoadAnomaly21,RbA,worst,3.png,16.19,20.52,77.05,1.51,0.005,0.81,7.93,"AUPR=16.2 | FPR95=20.5 | localization P@|A|=0.01 | separation z=0.8 | anomaly size=7.9% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected.",task8_qual_RoadAnomaly21_rba_worst.png
RoadObsticle21,MSP,best,29.webp,95.14,0.03,83.17,0.28,0.959,31.82,1.37,AUPR=95.1 | FPR95=0.0 | localization P@|A|=0.96 | separation z=31.8 | anomaly size=1.4% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_RoadObsticle21_msp_best.png
RoadObsticle21,MSP,worst,5.webp,0.03,20.05,0.01,86.05,0.0,-0.23,0.01,"AUPR=0.0 | FPR95=20.1 | localization P@|A|=0.00 | separation z=-0.2 | anomaly size=0.0% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_RoadObsticle21_msp_worst.png
RoadObsticle21,MaxLogit,best,27.webp,98.85,0.04,99.36,0.04,0.955,31.27,1.18,AUPR=98.8 | FPR95=0.0 | localization P@|A|=0.95 | separation z=31.3 | anomaly size=1.2% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_RoadObsticle21_maxlogit_best.png
RoadObsticle21,MaxLogit,worst,0.webp,0.04,34.96,0.07,15.39,0.0,-0.05,0.02,"AUPR=0.0 | FPR95=35.0 | localization P@|A|=0.00 | separation z=-0.0 | anomaly size=0.0% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_RoadObsticle21_maxlogit_worst.png
RoadObsticle21,Max Entropy,best,29.webp,96.88,0.03,85.52,0.25,0.967,33.86,1.37,AUPR=96.9 | FPR95=0.0 | localization P@|A|=0.97 | separation z=33.9 | anomaly size=1.4% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_RoadObsticle21_entropy_best.png
RoadObsticle21,Max Entropy,worst,5.webp,0.03,19.1,0.01,86.07,0.0,-0.17,0.01,"AUPR=0.0 | FPR95=19.1 | localization P@|A|=0.00 | separation z=-0.2 | anomaly size=0.0% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_RoadObsticle21_entropy_worst.png
RoadObsticle21,RbA,best,27.webp,99.36,0.04,99.42,0.04,0.958,37.58,1.18,AUPR=99.4 | FPR95=0.0 | localization P@|A|=0.96 | separation z=37.6 | anomaly size=1.2% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_RoadObsticle21_rba_best.png
RoadObsticle21,RbA,worst,15.webp,0.03,100.0,0.2,14.85,0.0,-18.4,0.04,"AUPR=0.0 | FPR95=100.0 | localization P@|A|=0.00 | separation z=-18.4 | anomaly size=0.0% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_RoadObsticle21_rba_worst.png
